"AUTEUR	DATUM	PARTIJ	CONTENT";;;;
"E. van Dijk	11-04-2020 11:47:18	onbekend	E. van Dijk (@EmielVanDijkPVV): RT @geertwilderspvv: Ongelooflijke fatale blunder. Ondanks waarschuwingen stuurde NL toch miljoenen mondkapjes en andere beschermingsmiddelen naar China in februari. Nu grote tekorten in NL en veel zorgmedewerkers besmet. Zeer laakbaar van kabinet. #Corona https://t.co/vE3HLOw6t9 via @volkskrant";;;;
"Partij voor de Dieren	11-04-2020 11:45:08	onbekend	Partij voor de Dieren (@PartijvdDieren): RT @KirstendeWrede: Goed artikel van onder andere Matty Vroegop over de relatie tussen hoe wij met dieren en natuur omgaan en die verrekte virussen https://t.co/LbQnv7DVy7";;;;
"Nevin Ozutok	11-04-2020 11:43:49	onbekend	Nevin Ozutok (@NevinOzutok): Veiligheid van zorgmedewerkers is van levensbelang. Bescherming van zorgmedewerkers moet topprioriteit worden! Zij staan dag in dag uit voor onze gezondheid https://t.co/C7Nc7eA0Ct";;;;
"Partij voor de Dieren	11-04-2020 11:42:20	onbekend	Partij voor de Dieren (@PartijvdDieren): Bij #SARS leidde luchtvervuiling tot 84% hogere kans op sterfte. En ook bij #corona lijken sterftecijfers in regios met slechte luchtkwaliteit hoger. Goed dus dat er onderzoek komt! Vroeg ons Kamerlid ⁦@EvavanEsch⁩ al om  https://t.co/QNdsdfKbQ2 https://t.co/G23kYZf5ta";;;;
"Barbara Visser	11-04-2020 11:32:34	VVD	Barbara Visser (@Barbara_Visser1): Als militair verpleegkundige op de ic: 'Strijd tegen onzichtbare vijand' https://t.co/mRAGCHbA2G";;;;
"Lammert van Raan	11-04-2020 11:26:09	PvdD	Lammert van Raan (@LammertvanRaan): Goed stuk. Goede beeldkeuze....:-) Denk na over wat er op ons bordje ligt” https://t.co/1EIuSjZAGX";;;;
"Tom van der Lee	11-04-2020 11:25:31	GroenLinks	Tom van der Lee (@TomvanderLee): Ondertussen is aan de andere kant van de wereld de beruchte vulkaan #Krakatoa uitgebarsten. Het gedonder was op 150 kilometer afstand te horen. In 1883 was de eruptie van de #Krakatoa enorm verwoestend, met 36.417 doden tot gevolg en een grote impact op het #klimaat. https://t.co/DjgSwn99jw";;;;
"Steven van Weyenberg	11-04-2020 11:24:59	D66	Steven van Weyenberg (@svanweyenberg): De  ️ Koffie ️ Mattheus ⁦@Bachvereniging⁩ ️ Paar @VI_nl⁩ ️ #ikblijfthuis #houdafstand https://t.co/g5RusJGIPE";;;;
"Pieter Omtzigt	11-04-2020 11:24:10	CDA	Pieter Omtzigt (@PieterOmtzigt): RT @PieterOmtzigt: Als je van iemand houdt, ga je deze Pasen niet fysiek op bezoek. Dat is moeilijk Mijn boodschap voor @ANBO_Nederland hartonderderiem Zalig Pasen! https://t.co/QTiTeWWd6t";;;;
"Ministerie IenW	11-04-2020 11:22:49	onbekend	Ministerie IenW (@MinIenW): De zon schijnt verleidelijk, maar ook met Pasen geldt: #blijfthuis Alleen samen krijgen we corona onder controle. #AlleenSamen #HouVol https://t.co/avcWqpCrhz";;;;
"Alexander van Hattem	11-04-2020 11:17:20	PVV	Alexander van Hattem (@AWJAvanHattem): RT @Martinbosma_pvv: De Heilstaat. Binnen handbereik. https://t.co/FNVgONSVb1";;;;
"Martin van Rooijen	11-04-2020 11:16:11	50Plus	Martin van Rooijen (@MvRooijen): .@wopke zijn eigen verslag. Hij was erbij. Solidair en solide. Knap https://t.co/ABRom1TJGH";;;;
"Partij voor de Dieren	11-04-2020 11:13:56	onbekend	Partij voor de Dieren (@PartijvdDieren): RT @bramvanliere: RIVM: Mogelijk onderzoek in ruim 40 landen naar verband tussen luchtvervuiling en corona https://t.co/IdC4FfhmkM";;;;
"Dilan #blijftthuis	11-04-2020 11:12:46	onbekend	Dilan #blijftthuis (@DilanYesilgoz): Wat een mooi verhaal. Dank je voor het delen @OscarKocken https://t.co/DAaW88VutG";;;;
"Martin van Rooijen	11-04-2020 11:08:57	50Plus	Martin van Rooijen (@MvRooijen): .⁦@WBHoekstra⁩: Solidair en Solide. Verstandig compromis. Herstelprogramma,s (nationaal en Europees) zijn goed voor 3000 mld ofwel 20% van Europees BNP”. Rutte en Merkel: Eurobonds onverantwoordelijk en onnodig: alle landen kunnen genoeg zelf lenen. https://t.co/ePe5oq9LAr";;;;
"Pieter Omtzigt	11-04-2020 11:01:41	CDA	Pieter Omtzigt (@PieterOmtzigt): RT @kbo_pcob: Mooie paasboodschap van @PieterOmtzigt! https://t.co/NKbX3dDvvD";;;;
"Peter Kwint	11-04-2020 10:59:02	SP	Peter Kwint (@peterkwint): ‘Deze thuisblijfsamenleving toont hoe belangrijk naar school gaan is voor gelijke kansen. En waarom ons publieke onderwijs de groeiende kansenongelijkheid in het onderwijs moet stoppen. Wat die van Visser zegt in dit belangrijke stuk. https://t.co/xyhgQ4tMEq";;;;
"Esther Ouwehand	11-04-2020 10:52:14	PvdD	Esther Ouwehand (@estherouwehand): Manifest van 170 wetenschappers: het is een blunder als we niet groener uit de coronacrisis komen https://t.co/QCt7LZZUdY";;;;
"Geert Wilders	11-04-2020 10:50:45	PVV	Geert Wilders (@geertwilderspvv): RT @geertwilderspvv: Ongelooflijke fatale blunder. Ondanks waarschuwingen stuurde NL toch miljoenen mondkapjes en andere beschermingsmiddelen naar China in februari. Nu grote tekorten in NL en veel zorgmedewerkers besmet. Zeer laakbaar van kabinet. #Corona https://t.co/vE3HLOw6t9 via @volkskrant";;;;
"Martin van Rooijen	11-04-2020 10:33:45	50Plus	Martin van Rooijen (@MvRooijen): .⁦@WBHoekstra⁩ helpt Italië wel degelijk, maar wel op een verstandige manier. Solidair en Solide. Het is nu eenmaal taak van Minister van Financiën ook op te komen voor de belastingbetaler. Steun van Tweede Kamer, behalve @Pvda ⁦@groenlinks⁩! https://t.co/p7oM57ZLvP";;;;
"Henk van Gerven	11-04-2020 10:31:37	SP	Henk van Gerven (@HenkvGerven): RT @NPORadio1: Worden we nationalistischer van de coronacrisis? @Robdewijk vindt van wel en stelt dat het Ieder voor zich en God voor ons allen is"". SP-Kamerlid laat zich dit niet aanleunen. Er is niks mis het voeren van een verstandige industriepolitiek”. #DIDD https://t.co/m1MY4omRma";;;;
"Harm Beertema	11-04-2020 10:30:11	PVV	Harm Beertema (@harmbeertema): Wetenschappers? Nee hoor, linkse activisten, broodprofeten van de revolutie. Mensen kunnen een universeel basisinkomen krijgen, arme landen kunnen kwijtschelding van schulden krijgen. Zulke radicale omvormingen zijn denkbaar nu de crisis economische zekerheden ontregelt,...” https://t.co/pTKXWFhafL";;;;
"Thierry Baudet	11-04-2020 10:28:17	FvD	Thierry Baudet (@thierrybaudet): Corona in Nederland. Een reconstructie. https://t.co/F6cVUul1uC via @YouTube";;;;
"Thierry Baudet	11-04-2020 10:26:43	FvD	Thierry Baudet (@thierrybaudet): RT @Rob_Roos: Veel #ondernemers zijn niet geholpen met de huidige #NOW regeling. Misschien toch maar WEL in overweging nemen @MinPres Rutte. #MKB #ZZP https://t.co/6D2zMFnRtX";;;;
"Thierry Baudet	11-04-2020 10:26:40	FvD	Thierry Baudet (@thierrybaudet): RT @Rob_Roos: Wij zagen dit aankomen en daarom heeft #FVD een aanvullend plan uitgewerkt voor #MKB en #ZZP dat gesteund wordt door de werkgeversorganisaties #VNO/NCW, #MKB-NL en #ONL. Het blinkt uit van eenvoud maar dekt veel beter de lading dan de #NOW regeling. https://t.co/SDL1XeijxD";;;;
"Alexander van Hattem	11-04-2020 10:11:27	PVV	Alexander van Hattem (@AWJAvanHattem): RT @bergbrabant: Een memo over de Regionale Energie Strategiën: de officiële datum voor inlevering van een concept-overzicht van lelijke, onzinnige en peperdure zon- en windprojecten verschuift van 1 juni naar 1 oktober, maar de snode plannen moeten toch al 1 juni voor-beoordeeld” worden Waanzin";;;;
"Martin van Rooijen	11-04-2020 10:11:24	50Plus	Martin van Rooijen (@MvRooijen): Italy does not need #Eurobonds and still has low interest rate due to fireman @ECB. https://t.co/fJtBFEPBBC";;;;
"Alexander van Hattem	11-04-2020 10:10:31	PVV	Alexander van Hattem (@AWJAvanHattem): RT @geertwilderspvv: Ongelooflijke fatale blunder. Ondanks waarschuwingen stuurde NL toch miljoenen mondkapjes en andere beschermingsmiddelen naar China in februari. Nu grote tekorten in NL en veel zorgmedewerkers besmet. Zeer laakbaar van kabinet. #Corona https://t.co/vE3HLOw6t9 via @volkskrant";;;;
"Nevin Ozutok	11-04-2020 10:02:58	onbekend	Nevin Ozutok (@NevinOzutok): RT @ZihniOzdil: Column: De racistische, politieke terreur van Kuzu en Öztürk https://t.co/yOdPVz6HJI";;;;
"Edgar Mulder	11-04-2020 10:02:32	PVV	Edgar Mulder (@edgarmulder1): RT @geertwilderspvv: Ongelooflijke fatale blunder. Ondanks waarschuwingen stuurde NL toch miljoenen mondkapjes en andere beschermingsmiddelen naar China in februari. Nu grote tekorten in NL en veel zorgmedewerkers besmet. Zeer laakbaar van kabinet. #Corona https://t.co/vE3HLOw6t9 via @volkskrant";;;;
"Edgar Mulder	11-04-2020 09:58:54	PVV	Edgar Mulder (@edgarmulder1): RT @DVanLangenhove: Dezelfde regering die beweert dat ze de temperatuur van de Aarde zal kunnen regelen als we nog wat meer belastingen betalen is er op ‘n maand tijd sinds iedereen de Coronacrisis ernstig is beginnen nemen nog altijd niet in geslaagd om voldoende mondmaskers te kopen of produceren.";;;;
"Edgar Mulder	11-04-2020 09:58:21	PVV	Edgar Mulder (@edgarmulder1): RT @CallingVisser: Nederland stuurde in februari ondanks #WHO-waarschuwing miljoenen medische hulpmiddelen naar China en nu creperen onze #zorgmedewerkers. Een schande terwijl #China aan ons verdient met rommel leveringen en #Taiwan ons gratis helpt #coronavirus #COVIDー19 https://t.co/ND4Ps1wbso";;;;
"Linda Voortman	11-04-2020 09:49:19	GroenLinks	Linda Voortman (@lindavoortman): Dit jaar vaker eieren zoeken in de tuin #pasenthuisinutrecht https://t.co/eYNFwMpygI";;;;
"Linda Voortman	11-04-2020 09:48:29	GroenLinks	Linda Voortman (@lindavoortman): RT @GemeenteUtrecht: Paasweekend staat voor de deur! Heb jij een leuke manier gevonden om in en om het huis Pasen te vieren? Deel jouw voorbeeld via #PasenthuisinUtrecht. De burgemeester en Milou van 6 jaar bieden vast wat inspiratie. https://t.co/Hic6IRAYGA https://t.co/L2lNYLcIT1";;;;
"Tom van der Lee	11-04-2020 09:45:48	GroenLinks	Tom van der Lee (@TomvanderLee): ‘Ingenieur #Wiebes werkt noodgedwongen in stilte aan de anderhalve-meter-economie . Dit nieuwe normaal zal volgens mij wel meer duurzaam én solidair moeten zijn dan daarvoor, anders betalen het klimaat en de laagstbetaalden wederom het gelag. https://t.co/5dW3ideSnF";;;;
"Geert Wilders	11-04-2020 09:45:46	PVV	Geert Wilders (@geertwilderspvv): RT @geertwilderspvv: Ongelooflijke fatale blunder. Ondanks waarschuwingen stuurde NL toch miljoenen mondkapjes en andere beschermingsmiddelen naar China in februari. Nu grote tekorten in NL en veel zorgmedewerkers besmet. Zeer laakbaar van kabinet. #Corona https://t.co/vE3HLOw6t9 via @volkskrant";;;;
"Dilan #blijftthuis	11-04-2020 09:45:44	onbekend	Dilan #blijftthuis (@DilanYesilgoz): Mooi https://t.co/pv2fk197SJ";;;;
"Alexander van Hattem	11-04-2020 09:44:38	PVV	Alexander van Hattem (@AWJAvanHattem): RT @bergbrabant: Die rook is vast heel schoon, zo uit zo'n duurzame subsidiefabriek.... Kuch https://t.co/btq6BcBDKK";;;;
"Martin Bosma	11-04-2020 09:43:27	PVV	Martin Bosma (@Martinbosma_pvv): De Heilstaat. Binnen handbereik. https://t.co/FNVgONSVb1";;;;
"Martijn van Helvert🇳🇱🇪🇺	11-04-2020 09:38:03	onbekend	Martijn van Helvert🇳🇱🇪🇺 (@Martijncda): In deze tijd zien we dat niemand leeft voor zichzelf alleen. Het Paasverhaal vertelt dat -ook als we lijden- we erbij horen"; ja zelfs van grote betekenis zijn voor de ander. Wat een vriend, wat een held en wat een God die zó aan ons denkt. Zalig Pasen! #KortelijnmetMartijn https://t.co/JiCvXFsFnF;;;
"Thierry Baudet	11-04-2020 09:35:12	FvD	Thierry Baudet (@thierrybaudet): RT @Rob_Roos: Omdat de #NOW regeling niet geschikt is voor veel #ondernemers heeft #FVD een regeling uitgewerkt die eenvoudig in gebruik is, betaalbaar is en veel beter de lading dekt. Als aanvulling. Helaas is dit woensdag weggestemd in de #TK. https://t.co/6D2zMF6g5n https://t.co/8hJ3g8OLeB";;;;
"Alexander van Hattem	11-04-2020 09:33:51	PVV	Alexander van Hattem (@AWJAvanHattem): RT @jndkgrf: Nieuw 'Briefje van Jan' op https://t.co/ZkJ8JweMvV - aan Lodewijk Asscher https://t.co/xCTZJbuLUh";;;;
"Peter Kwint	11-04-2020 09:32:45	SP	Peter Kwint (@peterkwint): RT @robmollink: Van het padje dit. Werknemers zouden veel minder uitgeven omdat ze niet uit eten kunnen en niet gaan winkelen, en daarom 30 procent van hun salaris moeten inleveren. Vriend, veel werknemers hebben hun salaris nodig om de vaste lasten van te betalen. https://t.co/LH5YwpqYSY";;;;
"Attje Kuiken ‍‍️‍‍️	11-04-2020 09:30:59	onbekend	Attje Kuiken ‍‍️‍‍️ (@attjekuiken): RT @emsent: Welke lessen zou ik willen trekken uit de crisis? Dat mocht ik aan ⁦@wilmaderek⁩ van de ⁦@volkskrant⁩ vertellen Gedragseconoom en Eerste Kamerlid Sent: ‘De economie moet dienstbaar zijn aan de samenleving, niet andersom https://t.co/UnFQmjDCb0";;;;
"Kees Verhoeven	11-04-2020 09:30:11	D66	Kees Verhoeven (@KeesVee): Kamervragen van 13 fracties (98 zetels) over de #Corona app van het kabinet staan online. Het spreekt voor zich dat de Kamer antwoorden wil voordat het kabinet de app lanceert. Crisissnelheid mag niet ten koste gaan van zorgvuldigheid en burgerrechten. https://t.co/1jf7K2UdwW";;;;
"Martin Bosma	11-04-2020 09:25:37	PVV	Martin Bosma (@Martinbosma_pvv): RT @LavieJanRoos: A) Wat een zieke uitspraak. B) Corona aan klimaat koppelen is quatsch. C) Waarom wordt nooit gemeld dat hij activist is. D) Waarom wordt nooit gemeld dat hij erevoorzitter en mede-oprichter van Urgenda is. https://t.co/VgheGWu4yh";;;;
"Henk Nijboer	11-04-2020 09:23:10	PvdA	Henk Nijboer (@henknijboer): RT @emsent: Welke lessen zou ik willen trekken uit de crisis? Dat mocht ik aan ⁦@wilmaderek⁩ van de ⁦@volkskrant⁩ vertellen Gedragseconoom en Eerste Kamerlid Sent: ‘De economie moet dienstbaar zijn aan de samenleving, niet andersom https://t.co/UnFQmjDCb0";;;;
"Peter Kwint	11-04-2020 09:21:49	SP	Peter Kwint (@peterkwint): Wat een fantastisch draadje dit zeg. https://t.co/PDOtqZ030g";;;;
"Tom van der Lee	11-04-2020 09:21:33	GroenLinks	Tom van der Lee (@TomvanderLee): RT @TomvanderLee: Het is slechts gebaseerd op ‘Haagse bronnen , dit nieuws dat ‘t Kabinet de #CO2-heffing vooruit wil schuiven. Zo n kabinetsbesluit kunnen wij niet accepteren. De Europese CO2-prijs is al gekelderd & economisch herstel zal straks ook duurzaam moeten zijn. https://t.co/WGWKyl1HZH";;;;
"Henk Nijboer	11-04-2020 09:20:08	PvdA	Henk Nijboer (@henknijboer): Goed interview! ⁦@emsent⁩ ‘Laat de economie niet meer leiden | Gedeeld artikel van de Volkskrant https://t.co/id4SqaR0s6";;;;
"Léon de Jong	11-04-2020 09:15:33	PVV	Léon de Jong (@leondejong): RT @geertwilderspvv: Ongelooflijke fatale blunder. Ondanks waarschuwingen stuurde NL toch miljoenen mondkapjes en andere beschermingsmiddelen naar China in februari. Nu grote tekorten in NL en veel zorgmedewerkers besmet. Zeer laakbaar van kabinet. #Corona https://t.co/vE3HLOw6t9 via @volkskrant";;;;
"Thierry Baudet	11-04-2020 09:06:56	FvD	Thierry Baudet (@thierrybaudet): RT @RutgervdNoort: ""Inmiddels wil niemand nog herinnerd worden aan die dag in februari toen vlak voor de uitbraak miljoenen mondkapjes verdwenen uit Nederland naar China"" [Vreemd dat artikel de waarschuwing van @thierrybaudet op 29 januari niet noemt.] https://t.co/rKY3kLWvOF";;;;
"Thierry Baudet	11-04-2020 09:06:47	FvD	Thierry Baudet (@thierrybaudet): RT @robert_bor: Amper twee weken na de debataanvraag van @thierrybaudet vliegt op 7 februari een Boeing vol met schaarse mondkapjes naar China. Een vernietigende reconstructie van een opeenstapeling van mislukkingen en verkeerde beslissingen genomen door onze regering. https://t.co/RDcq2nluxo";;;;
"Fleur Agema	11-04-2020 09:02:44	PVV	Fleur Agema (@FleurAgemaPVV): RT @geertwilderspvv: Ongelooflijke fatale blunder. Ondanks waarschuwingen stuurde NL toch miljoenen mondkapjes en andere beschermingsmiddelen naar China in februari. Nu grote tekorten in NL en veel zorgmedewerkers besmet. Zeer laakbaar van kabinet. #Corona https://t.co/vE3HLOw6t9 via @volkskrant";;;;
"Thierry Baudet	11-04-2020 09:01:09	FvD	Thierry Baudet (@thierrybaudet): RT @NedLeeuw: Bedenk even wat het moment was dat @thierrybaudet de eerste keer een COVID-19 debat aanvroeg. https://t.co/jjOTCDBRYU";;;;
"Thierry Baudet	11-04-2020 09:00:44	FvD	Thierry Baudet (@thierrybaudet): Vernietigende kritiek op Corona-beleid Rutte: terwijl wereldwijd protectionistische en defensieve maatregelen worden genomen, vliegt NL op 7 feb. (twee weken na mijn debataanvraag) doodleuk een Boeing vol mondkapjes naar China: https://t.co/5uuG7wChiG https://t.co/5uuG7wChiG";;;;
"Thierry Baudet	11-04-2020 08:49:03	FvD	Thierry Baudet (@thierrybaudet): RT @FvD_Utrecht: Het is bizar! In ⁦@volkskrant⁩ geen enkele verwijzing is naar ⁦⁦@thierrybaudet⁩ die op 28 & 29 januari al pleitte voor een spoeddebat! Hoe had Nederland ervoor gestaan als er wel naar hem geluisterd was.... #FVD #coronacrisis #COVIDー19 https://t.co/rsFFiCTlgG";;;;
"Attje Kuiken ‍‍️‍‍️	11-04-2020 08:47:43	onbekend	Attje Kuiken ‍‍️‍‍️ (@attjekuiken): Wielfietshangers van zorgmedewerker of patient wie is ze kwijt?! https://t.co/v4hhbfKHdx";;;;
"Corrie van Brenk	11-04-2020 08:47:15	50Plus	Corrie van Brenk (@CvanBrenk): Humor mijn kleinzoon Dries van vier, hoort dat hij 4 dagen geen huiswerk heeft met de Pasen. Zijn reactie: dat is het beste nieuws dat ik in dagen gehoord heb️ Fijne Paasdagen allemaal";;;;
"Henk Nijboer	11-04-2020 08:44:52	PvdA	Henk Nijboer (@henknijboer): RT @drskee: Week van Kee over de week van Hoekstra - De Nieuws BV - NPO Radio 1 https://t.co/ABaOSbgRU4";;;;
"Thierry Baudet	11-04-2020 08:34:04	FvD	Thierry Baudet (@thierrybaudet): RT @thesluis: Mogelijke doorbraak. Israëlische behandeling #covid19 blijkt 100% succesvol bij 6 patiënten die ziek waren met hoog risico op overlijden. Allen herstelden. Het gaat nu op grotere schaal toegepast worden. Zoals we in Israël zeggen: #Hallevay! #ifonly! https://t.co/ojLV3DgrHr";;;;
"Martijn van Helvert🇳🇱🇪🇺	11-04-2020 08:31:52	onbekend	Martijn van Helvert🇳🇱🇪🇺 (@Martijncda): RT @usambnl: A message for all the people of faith observing holidays this season. https://t.co/JhS6rrTjrN";;;;
"Gijs van Dijk	11-04-2020 08:25:00	PvdA	Gijs van Dijk (@dijkvangijs): RT @went1955: We hebben een sterke overheid nodig die straks niet gaat zeggen: we zitten met een enorme schuld, laten we maar gaan bezuinigen op de publieke sector. De overheid moet zich juist inzetten voor een duurzame en inclusieve economie — Mooi interview @emsent https://t.co/JcWJCbmKgl";;;;
"Vera Bergkamp	11-04-2020 08:18:52	D66	Vera Bergkamp (@Vera_Bergkamp): Hartverscheurende reportage bij #Nieuwsuur. Méér beschermingsmiddelen en snel méér testen zijn hard nodig voor medewerkers in verpleeghuizen én ook voor de zorg thuis én voor de zorg aan gehandicapten.";;;;
"Geert Wilders	11-04-2020 08:05:20	PVV	Geert Wilders (@geertwilderspvv): RT @geertwilderspvv: Ongelooflijke fatale blunder. Ondanks waarschuwingen stuurde NL toch miljoenen mondkapjes en andere beschermingsmiddelen naar China in februari. Nu grote tekorten in NL en veel zorgmedewerkers besmet. Zeer laakbaar van kabinet. #Corona https://t.co/vE3HLOw6t9 via @volkskrant";;;;
"Laura Bromet 🦔	11-04-2020 08:04:25	onbekend	Laura Bromet 🦔 (@LauraBromet): https://t.co/bjYg2fyWop";;;;
"Renske Leijten	11-04-2020 08:00:18	SP	Renske Leijten (@RenskeLeijten): RT @robmollink: Van het padje dit. Werknemers zouden veel minder uitgeven omdat ze niet uit eten kunnen en niet gaan winkelen, en daarom 30 procent van hun salaris moeten inleveren. Vriend, veel werknemers hebben hun salaris nodig om de vaste lasten van te betalen. https://t.co/LH5YwpqYSY";;;;
"Gert-Jan Segers	11-04-2020 07:53:19	ChristenUnie	Gert-Jan Segers (@gertjansegers): Gister was het Goede Vrijdag en klonk het ‘Erbarme dich . Deze crisis raakt ons allemaal en plaatst ons voor grote vragen, grote keuzes. Maar voordat we nieuwe antwoorden geven, is het vandaag Stille Zaterdag. Pas morgen zal het Pasen zijn. https://t.co/hYmbD8Gkd7";;;;
"Laura Bromet 🦔	11-04-2020 07:52:52	onbekend	Laura Bromet 🦔 (@LauraBromet): Goedemorgen! https://t.co/bgOegI6R8l";;;;
"Openbaar Ministerie	11-04-2020 07:36:20	onbekend	Openbaar Ministerie (@Het_OM): RT @op1npo: Terugkijken: Het strafrecht ligt door het #coronavirus stil. Strafzaken belanden op de plank en een aantal verdachten dat in voorlopige hechtenis werd gehouden, komt op vrije voeten. @GerritvdBurg van @Het_OM vertelde bij #Op1 welke gevolgen het heeft https://t.co/KnZTky3DSo";;;;
"Laura Bromet 🦔	11-04-2020 07:29:07	onbekend	Laura Bromet 🦔 (@LauraBromet): Mooi verhaal in @trouw over zwembaden die van het gas af gaan. ‘Het roept angst op. Pas als ze de energierekening zien geloven ze het . Illustratief voor de hele energietransitie. https://t.co/rL00eE90Bm";;;;
"Danai van Weerdenburg 	11-04-2020 07:19:28	onbekend	Danai van Weerdenburg  (@Danai_PVV): RT @geertwilderspvv: Ongelooflijke fatale blunder. Ondanks waarschuwingen stuurde NL toch miljoenen mondkapjes en andere beschermingsmiddelen naar China in februari. Nu grote tekorten in NL en veel zorgmedewerkers besmet. Zeer laakbaar van kabinet. #Corona https://t.co/vE3HLOw6t9 via @volkskrant";;;;
"Machiel de Graaf 🇳🇱	11-04-2020 06:48:27	onbekend	Machiel de Graaf 🇳🇱 (@GraafdeMachiel): RT @geertwilderspvv: Ongelooflijke fatale blunder. Ondanks waarschuwingen stuurde NL toch miljoenen mondkapjes en andere beschermingsmiddelen naar China in februari. Nu grote tekorten in NL en veel zorgmedewerkers besmet. Zeer laakbaar van kabinet. #Corona https://t.co/vE3HLOw6t9 via @volkskrant";;;;
"Geert Wilders	11-04-2020 05:47:59	PVV	Geert Wilders (@geertwilderspvv): Ongelooflijke fatale blunder. Ondanks waarschuwingen stuurde NL toch miljoenen mondkapjes en andere beschermingsmiddelen naar China in februari. Nu grote tekorten in NL en veel zorgmedewerkers besmet. Zeer laakbaar van kabinet. #Corona https://t.co/vE3HLOw6t9 via @volkskrant";;;;
"Thierry Baudet	11-04-2020 00:45:28	FvD	Thierry Baudet (@thierrybaudet): RT @dutchjews: @baspaternotte @thierrybaudet Mossad: Mensen zullen sterven door tekorten, maar niet in Israël. We gebruiken onze speciale connecties om de race te winnen en te doen wat de hele wereld doet: onze handen leggen op wat door anderen is besteld"". https://t.co/foJEwKN0yD";;;;
"Partij voor de Dieren	10-04-2020 23:53:53	onbekend	Partij voor de Dieren (@PartijvdDieren): RT @EvaKoffeman: Elke verandering van biodiversiteit door het verdwijnen van habitat leidt tot een verandering in de balans van het hele ecosysteem. Wetenschappers zijn het erover eens dat we steeds meer epidemieën moeten verwachten https://t.co/Zk4xFMQRH3";;;;
"Lammert van Raan	10-04-2020 23:46:38	PvdD	Lammert van Raan (@LammertvanRaan): RT @EvaKoffeman: Elke verandering van biodiversiteit door het verdwijnen van habitat leidt tot een verandering in de balans van het hele ecosysteem. Wetenschappers zijn het erover eens dat we steeds meer epidemieën moeten verwachten https://t.co/Zk4xFMQRH3";;;;
"Martin Bosma	10-04-2020 23:36:47	PVV	Martin Bosma (@Martinbosma_pvv): RT @OuchikhKarim: Rogier van der Weyden, La Descente de Croix (détail), 1435 (Musée du Prado,Madrid). https://t.co/ru00iYFmuO";;;;
"Peter Kwint	10-04-2020 23:32:33	SP	Peter Kwint (@peterkwint): Dit is een beetje als een flat earther die naast je komt zitten in je stamkroeg. Tijdenlang onzin debiteren. Iedereen irriteren. En dan eindigen met ‘nee maar echt. Dat is de situatie! https://t.co/qi9wIGRGIq";;;;
"Ton van Kesteren	10-04-2020 23:25:11	PVV	Ton van Kesteren (@PVVKesteren): RT @POPNED: De ware aard v GL en c.s. Belangrijk om te weten als er weer verkiezingen zijn. Na corona zijn soc.-econ. en soc.-maatsch. maatregelen nodig om het land te behoeden voor nog meer armoede en verpaupering. https://t.co/l3l07t5U7j";;;;
"Fleur Agema	10-04-2020 23:24:40	PVV	Fleur Agema (@FleurAgemaPVV): RT @kellysheroesmd: An ICU nurse after working 65 hours over the past six days. This is the face we should be seeing on front pages, not the charlatans who have cut/underfunded these heroes for decades. You say #buyapaper but perhaps it's time to represent the people of the UK not the privileged few https://t.co/JxCanQpwts";;;;
"Henk Nijboer	10-04-2020 23:23:24	PvdA	Henk Nijboer (@henknijboer): RT @denieuwsbv: Europese landen hebben financiële steun nodig, maar Hoekstra stelt de hoogste eisen van allemaal. Dit bespraken we met politiek redacteur @drskee en met Tweede Kamerlid @henknijboer. https://t.co/JPQWtUv1r1";;;;
"Ton van Kesteren	10-04-2020 23:18:38	PVV	Ton van Kesteren (@PVVKesteren): RT @geertwilderspvv: Ongelooflijk triest. Hoge sterfte onder ouderen en 25% zorgpersoneel besmet. Ouderen met Corona samen met ouderen zonder Corona op dezelfde afdeling. Gigantisch tekort aan beschermingsmiddelen. Waar blijven de beloofde beschermingsmiddelen @hugodejonge?!? #schandalig https://t.co/gZLlAaKMX9";;;;
"Fleur Agema	10-04-2020 23:16:23	PVV	Fleur Agema (@FleurAgemaPVV): RT @okoning: Meer persoonlijke beschermingsmiddelen, hard nodig voor medewerkers in verpleeghuizen en zorg thuis #Nieuwsuur";;;;
"Fleur Agema	10-04-2020 23:16:14	PVV	Fleur Agema (@FleurAgemaPVV): RT @EWdeVlieger: @hugodejonge @AnneMbH Hoe is het met de inkoop van beschermende producten voor verpleeghuizen gesteld ? Ben nieuwsgierig #zeiklozevrijdagavond";;;;
"Pieter Omtzigt	10-04-2020 23:15:34	CDA	Pieter Omtzigt (@PieterOmtzigt): Zo meteen - over een paar minuten -zit ik in het kamerledenpanel met @HenkKrol en @SadetKarabulut in @oogopmorgen op @NPORadio1 Onderwerp: hoe controleer je de regering in deze tijden?";;;;
"Alexander Kops • PVV	10-04-2020 23:14:47	onbekend	Alexander Kops • PVV (@KopsPVV): RT @geertwilderspvv: Ongelooflijk triest. Hoge sterfte onder ouderen en 25% zorgpersoneel besmet. Ouderen met Corona samen met ouderen zonder Corona op dezelfde afdeling. Gigantisch tekort aan beschermingsmiddelen. Waar blijven de beloofde beschermingsmiddelen @hugodejonge?!? #schandalig https://t.co/gZLlAaKMX9";;;;
